Cohort,ID,Last_Name,First_Name,Gender,Category,Cohort_num,Status,Last_Degree,Last_GPA_Before_MSBA,Background,School,Higher_Education,Decision,Date_of_Birth,Age_when_Joined_Program,First_Nationality,GPA_Graduate,GPA,Letter_Grading,MSBA__Data_Thesis_2f_Capstone,EDU_grouped
Cohort 1,1,,,F,PT,1,Alumni,CCE,,Engineering,Lebanese University (LU),,Accepted Unconditionally,"Friday, August 19, 1988",29,Lebanese,88.75,4,A,,Other
Cohort 1,2,,,M,PT,1,Alumni,Economics,,Business/Economics/Accounting/Finance,Lebanese American University (LAU),,Accepted Conditionally-GPA probation,"Wednesday, December 20, 1995",22,Lebanese,82.22,3.3,B+,,AUB/LAU
Cohort 1,3,,,F,PT,1,Dropped,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Saturday, May 5, 1990",27,Lebanese,84.44,3.7,A-,,AUB/LAU
Cohort 1,4,,,M,FT,1,Alumni,Civil & Environmenal Engineering,,Engineering,Universite Saint-Joseph (USJ),,Accepted Unconditionally,"Tuesday, February 1, 1994",23,Lebanese,87.33,4,A,,Other
Cohort 1,5,,,F,PT,1,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Saturday, June 27, 1992",25,Lebanese,88.55,3.7,A-,,AUB/LAU
Cohort 1,6,,,M,PT,1,Alumni,Business Information System,,MIS/Computer Science/IT,Lebanese American University (LAU),,Accepted Unconditionally,"Monday, August 22, 1994",23,Lebanese,90.11,4,A,,AUB/LAU
Cohort 1,7,,,M,PT,1,Alumni,Mechanical Engineering,,Engineering,American University of Beirut (AUB),,Accepted Unconditionally,"Wednesday, December 15, 1993",24,Lebanese,89.33,4,A,,AUB/LAU
Cohort 1,8,,,M,FT,1,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Saturday, June 15, 1996",21,Lebanese,85.22,3.7,A-,,AUB/LAU
Cohort 1,9,,,M,FT,1,Alumni,Civil & Environmenal Engineering,,Engineering,Universite Saint-Joseph (USJ),,Accepted Conditionally-GPA probation,"Tuesday, August 16, 1994",23,Lebanese,84.55,3.7,A-,,Other
Cohort 1,10,,,F,PT,1,Alumni,Computer Science,,Business/Economics/Accounting/Finance,Beirut Arab University (BAU),,Accepted Unconditionally,"Thursday, July 10, 1986",31,Lebanese,90.66,4,A,,Other
Cohort 1,11,,,F,FT,1,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, February 16, 1996",21,Lebanese,89.11,4,A,,AUB/LAU
Cohort 1,12,,,F,FT,1,Alumni,Civil & Environmenal Engineering,,Engineering,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Thursday, November 9, 1995",22,Lebanese,88.66,4,A,,AUB/LAU
Cohort 1,13,,,F,PT,1,Alumni,Computer Science,,MIS/Computer Science/IT,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Monday, September 14, 1987",30,Lebanese,85.5,3.7,A-,,AUB/LAU
Cohort 1,14,,,M,FT,1,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Friday, April 16, 1993",24,Lebanese,91.88,4,A,,AUB/LAU
Cohort 1,15,,,M,FT,1,Alumni,Economics,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Sunday, August 11, 1996",21,Asutralian,87.77,4,A,,AUB/LAU
Cohort 1,16,,,F,PT,1,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Saturday, September 26, 1992",25,Lebanese,83.22,3.7,A-,,AUB/LAU
Cohort 1,17,,,M,PT,1,Alumni,CCE,,Engineering,Universite Saint-Esprit de Kaslik (USEK),,Accepted Unconditionally,"Thursday, June 12, 1980",31,Lebanese,89.66,4,A,,Other
Cohort 2,18,,,M,FT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Unconditionally,"Monday, January 1, 1990",28,Lebanese,91.33,4,A,,AUB/LAU
Cohort 2,20,,,F,PT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,American University of Beirut (AUB),,Accepted Conditionally-GPA probation,"Monday, February 17, 1997",21,Lebanese,83.22,3.7,A-,,AUB/LAU
Cohort 2,21,,,F,FT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,Lebanese International University (LIU),,Accepted Unconditionally,"Tuesday, June 4, 1996",22,Lebanese,85.88,3.7,A-,,Other
Cohort 2,22,,,F,PT,2,Alumni,BBA,,Business/Economics/Accounting/Finance,Haigazian University,,Accepted Unconditionally,"Wednesday, July 6, 1994",24,Lebanese,91.44,4,A,,Other
Cohort 2,23,,,F,PT,2,Dropped,Computer Science,,MIS/Computer Science/IT,"Arts, Sciences and Technology University in Lebanon (AUL)",,Accepted Unconditionally,"Tuesday, October 14, 1986",32,Lebanese,87,4,A,,Other
